"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"МД-00002991","54112-1101010-20","Бак топливный в сборе 500л. 1250*660*660 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","16595","","0","0","0"
"МД-00016269","54112-1101010-20","Бак топливный в сборе 500л. 1250*660*660 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","15711","","0","0","0"
"МД-00020526","54112-1101010-20","Бак топливный в сборе 500л. 1250*660*660 ЕВРО (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","18634","","0","0","0"
"МД-00003000","54112-1101010-30 / П0000096","Бак топливный в сборе 500л. 1325*650*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","17930","","0","0","0"
"МД-00010035","54112-1101010-30 / К0000021","Бак топливный в сборе 500л. 1325*650*650 (дл*выс*шир) с топлизаборником, высокая горловина, откидная крышка / Бакор","к-т","17930","","0","0","0"
"МД-00016796","54112-1101010-30 / П0006432","Бак топливный в сборе 500л. 1325*650*650 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / Бакор","к-т","17930","","0","0","0"
"МД-00002992","54112-1101010","Бак топливный в сборе 500л. 1500*540*640 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","16361","","0","0","0"
"МД-00015550","54112-1101010","Бак топливный в сборе 500л. 1500*540*640 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","15476","","0","0","0"
"МД-00010077","54112-1101010","Бак топливный в сборе 500л. 1630*530*650 (дл*выс*шир) с топливозаборником, высокая горловина, полуоборотная крышка / КМЗ","к-т","16166","","0","0","0"
"МД-00006995","54112-1101010 / П0000138","Бак топливный в сборе 500л. 1630*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","19127","","0","0","0"
"МД-00010072","54112-1101010","Бак топливный в сборе 500л. 1630*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","16166","","0","0","0"
"МД-00010036","54112-1101010 / 00000576","Бак топливный в сборе 500л. 1630*530*650 (дл*выс*шир) с топлизаборником, высокая горловина, откидная крышка / Бакор","к-т","19127","","0","0","0"
"МД-00020316","53215-1101010-25","Бак топливный в сборе 500л. 1630*530*650 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","15281","","0","0","0"
"МД-00011400","53215-1101010-25","Бак топливный в сборе 500л. 1630*530*650 ЕВРО (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","18018","","0","0","0"
"МД-00022450","54112-1101010","Бак топливный в сборе 500л. 1650*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Автотехнология","к-т","19080","","0","0","0"
"МД-00003001","54112-1101010-20 / П0000100","Бак топливный в сборе 600л. 1500*650*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","20692","","0","0","0"
"МД-00010037","54112-1101010-20 / К0000001","Бак топливный в сборе 600л. 1500*650*650 (дл*выс*шир) с топлизаборником, высокая горловина, откидная крышка / Бакор","к-т","20692","","0","0","0"
"МД-00006217","54112-1101010-20","Бак топливный в сборе 600л. 1540*660*660 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","20182","","0","0","0"
"МД-00020381","54112-1101010-20","Бак топливный в сборе 600л. 1540*660*660 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","19297","","0","0","0"
"МД-00020370","54112-1101010 / П0000142","Бак топливный в сборе 600л. 1920*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","20692","","0","0","0"
"МД-00020369","54112-1101010 / Н0001058","Бак топливный в сборе 600л. 1920*530*650 (дл*выс*шир) с топлизаборником, высокая горловина, откидная крышка / Бакор","к-т","20692","","0","0","0"
"МД-00020373","54112-1101010 / П0000104","Бак топливный в сборе 700л. 1750*650*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","24000","","0","0","0"
"МД-00019861","54112-1101010 / 00000272","Бак топливный в сборе 700л. 1750*650*650 (дл*выс*шир) с топлизаборником, высокая горловина, откидная крышка / Бакор","к-т","24000","","0","0","0"
"МД-00006997","54112-1101010-20 / П000106","Бак топливный в сборе 800л. 2000*650*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","25974","","0","0","0"
"МД-00010038","54112-1101010-20 / 0000014","Бак топливный в сборе 800л. 2000*650*650 (дл*выс*шир) с топлизаборником, высокая горловина, откидная крышка / Бакор","к-т","25974","","0","0","0"
"МД-00002993","54112-1101010-20","Бак топливный в сборе 800л. 2040*660*660 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","27588","","0","0","0"
"МД-00015553","54112-1101010-20","Бак топливный в сборе 800л. 2040*660*660 ЕВРО (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","29626","","0","0","0"
"МД-00010000","5410-1101010-10 / К0000296","Бак топливный голый 125л. 680*405*498 (дл*выс*шир) высокая горловина, откидная крышка / Бакор","шт","6071","","40","0","0"
"МД-00002653","5410-1101010-10 / П0000081","Бак топливный голый 125л. 680*405*498 (дл*выс*шир) низкая горловина, полуоборотная крышка / Бакор","шт","6071","","40","0","0"
"МД-00006210","5320-1101010","Бак топливный голый 125л. 710*400*490 (дл*выс*шир) низкая горловина, полуоборотная крышка / КМЗ","шт","5420","","24.6","0","0"
"МД-00034443","5320-1101010","Бак топливный голый 125л. 710*413*493 (дл*выс*шир) высокая горловина, откидная крышка / Автотехнология","шт","6067","","0.001","0","0"
"МД-00022438","5320-1101010-10","Бак топливный голый 125л. 710*413*493 (дл*выс*шир) низкая горловина, полуоборотная крышка / Автотехнология","шт","6067","","20","0","0"
