"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"ДН006531","5335-3104008","Болт колесный (сапожок голый,КМД)  ТЕФЛОН","шт","75","","0.3","0","0"
"ДН006350","54321-3104050","Болт колесный зад.ЕВРО L=105мм (КМД) ТЕФЛОН","шт","140","","0.35","0","0"
"ДН003175","54321-3104050","Болт колесный зад.ЕВРО L=105мм Ижевск черный,10.9","шт","105","","0.35","0","0"
"ДН008136","5651-3104051","Болт колесный КРАЗ левый L=130 ТЕФЛОН","шт","120","","0","0","0"
"ДН006536","9919-3104050","Болт колесный п/прицепа L=95мм (КМД) ТЕФЛОН","шт","125","","0.3","0","0"
"ДН003676","9919-3104051","Болт колесный п/прицепа L=95мм Ижевск","шт","92","","0.3","0","0"
"ДН006534","54321-3104051","Болт колесный перед.ЕВРО L=85мм (КМД) ТЕФЛОН","шт","120","","0.2","0","0"
"ДН002867","54321-3104051","Болт колесный передний ЕВРО L=85мм Ижевск черный,10.9","шт","95","","0.2","0","0"
"ДН009784","4370-3104051","Болт колесный передний ЗУБРЕНОК L=70 (КМД) ТЕФЛОН","шт","84","","0.25","0","0"
"ДН006112","93301-3104051-01","Болт колесный ступицы п/прицепа L=65 мм","шт","110","","0.25","0","0"
"ДН011689","","Болт колёсный задн.Volvo L=123.5/113.5mm7/8х14UNF","шт","130","","0","0","0"
"ДН009785","4370/5336-3104050","Болт короны (колесный зад.ЗУБРЕНОК,85мм) (КМД) ТЕФЛОН","шт","88","","0.26","0","0"
"ДН011218","5336-3104050","Болт короны в сборе с гайкой М20х80х1,5 Ижевск","шт","101","","0","0","0"
"ДН003607","5336-3104050","Болт короны голый М20х80х1,5 (Ижевск)","шт","89","","0.26","0","0"
"ДН009841","206574","Болт крепления боковой подушки 3М12-6Нх25","шт","30","","0.03","0","0"
"ДН012642","650-1003016","Болт крепления головки 650 М20х1,5-6х215","шт","330","","0","0","0"
"ДН011390","5340-1003016","Болт крепления головки 536 М15х2.0-6х180","шт","290","","0.238","0","0"
"ДН011371","650-1003017","Болт крепления головки 650 М14х190","шт","230","","0","0","0"
"ДН006889","236-1003272","Болт крепления клапанной крышки","шт","150","","0.09","0","0"
"ДН012411","650-1003272","Болт крепления клапанной крышки М8*125*58","шт","115","","0","0","0"
"ДН009404","64221-3104008","Болт крепления короны Евро (М20х65х2)","шт","120","","0.196","0","0"
"ДН011917","310265-П2","Болт крепления пластин привода ТНВД М12х26","шт","60","","0","0","0"
"ДН006621","5336-2916026-01","Болт крепления серьги стабилизатора М24х75","шт","138","","0.3","0","0"
"ДН007414","372923","Болт крепления цапфы М20х55х1,5","шт","24","","0","0","0"
"ДН004083","236-1004063-Б2","Болт крышки шатуна ЯМЗ длинный М16х80","шт","230","","0","0","0"
"ДН004084","236-1004062-Б2","Болт крышки шатуна ЯМЗ короткий","шт","225","","0","0","0"
"ДН12625","310135","Болт М10-6gх70 выпускного коллектора ЯМЗ 650","шт","130","","0","0","0"
"ДН004941","","Болт М10х20","шт","4.5","","0","0","0"
"ДН009878","210406","Болт М10х30 в сборе (крепления бампера бокового)","шт","10","","0","0","0"
"ДН004957","290813 П-29","Болт М10х45х1,5 с уменш.голов.механизма переключения передач","шт","8","","0","0","0"
"ДН12340","310228-П","Болт М10х48 сильфона ЯМЗ","шт","49","","0","0","0"
"ДН005030","5432-2912032","Болт М12х1,25х95 перед.рессоры(центровой) с гайкой","шт","29","","0","0","0"
"ДН005029","371795-1","Болт М12х1,25х110 перед.рессоры (центровой) с гайкой","шт","32","","0.12","0","0"
"ДН006781","","Болт М12х1,25х120 перед.рессоры (центровой) с гайкой","шт","34","","0.128","0","0"
"ДН006782","371791","Болт М12х1,25х140 перед.рессоры (центровой) с гайкой","шт","36","","0.124","0","0"
"ДН012273","371799","Болт М12х1,25х160 задн.рессоры (центровой)с гайкой","шт","39","","0.168","0","0"
"ДН013351","371796","Болт М12х1,25х170 задн.рессоры (центровой)с гайкой","шт","52","","0.171","0","0"
"ДН007380","","Болт М12х1,25х180 задней рессоры (центровой) с гайкой","шт","53","","0.13","0","0"
"ДН13831","371792","Болт М12х1,25х190 задней рессоры (центровой) ГОЛЫЙ","шт","52","","0.186","0","0"
"ДН005028","371792","Болт М12х1,25х190 задней рессоры (центровой) с гайкой","шт","65","","0.15","0","0"
"ДН13832","509-2912012-12","Болт М12х1,25х200 задн.рессоры (центровой) ГОЛЫЙ","шт","53","","0.194","0","0"
"ДН005017","509-2912012-12","Болт М12х1,25х200 задней рессоры (центровой)с гайкой","шт","66","","0.16","0","0"
"ДН004950","","Болт М12х1,25х70","шт","8.5","","0.073","0","0"
"ДН011461","","Болт М12х1,25х90 с гайкой","шт","13.5","","0","0","0"
"ДН004951","","Болт М12х120","шт","10","","0","0","0"
"ДН013339","201563-П29","Болт М12х30х1,25","шт","6","","0","0","0"
"ДН004949","201544","Болт М12х40х1,75 кронштейна силового агрегата","шт","7","","0.04","0","0"
"ДН005003","","Болт М12х40х2","шт","7","","0","0","0"
"ДН009843","206906","Болт М14-6Нх35 крепления боковой опоры","шт","33","","0.05","0","0"
"ДН013340","200853-П29","Болт М14х120х1,5","шт","22","","0","0","0"
"ДН004952","","Болт М14х35","шт","8","","0","0","0"
"ДН004953","","Болт М14х40","шт","8.5","","0","0","0"
"ДН007085","200879","Болт М16х150х1,5 установки задней рессоры","шт","40","","0.24","0","0"
"ДН007084","200880","Болт М16х160х1,5 установки задней рессоры","шт","45","","0.25","0","0"
"ДН006025","","Болт М16х190х1,5 установки задней рессоры","шт","55","","0.32","0","0"
"ДН006024","64229-2912032","Болт М16х240х1,5 установки задней рессоры","шт","99","","0.37","0","0"
"ДН006023","5516-2912032","Болт М16х280х1,5 установки задней рессоры","шт","115","","0.45","0","0"
"ДН12834","5516-2912032","Болт М16х305х1,5 установки задней рессоры","шт","120","","0","0","0"
"ДН007053","372629","Болт М16х45х1.5 седельного устройства МАЗ в сборе","шт","39","","0.15","0","0"
"ДН007054","372613","Болт М16х55х1.5 седельного устройства МАЗ в сборе","шт","42.5","","0.16","0","0"
"ДН008190","372787","Болт М18х50х1,5 в сб. пов. круга, креплен тормозного барабана","шт","51","","0.18","0","0"
"ДН009269","372836","Болт М20х1,5х110 кронштейна ""Зубрёнок""","шт","115","","0.36","0","0"
"ДН005061","1/13836/31","Болт М20х1,5х60 ушка рессоры","шт","50","","0.16","0","0"
"ДН011133","205267/250908","Болт М20х1,5х70 фаркопа с гайкой","шт","50","","0","0","0"
"ДН010597","642269-2918168","Болт М24х2-6Нх105 задней подвески","шт","150","","0.472","0","0"
"ДН010598","372976","Болт М24х2-6Нх110 крепления кронштейна со стяжкой","шт","155","","0.488","0","0"
"ДН004851","371045","Болт М24х2-6Нх130 крепления реактивной штанги","шт","162","","0.56","0","0"
"ДН011863","372979","Болт М24х2-6Нх190 крепления реактивной штанги","шт","186","","0.8","0","0"
"ДН007089","371095","Болт М24х2-6Нх275 крепления реактивной штанги","шт","235","","1","0","0"
"ДН010599","372986","Болт М24х290 крепления реактивных штанг","шт","240","","1.14","0","0"
"ДН007681","372985","Болт М24х2-6Нх310 крепления реактивной штанги","шт","255","","1.2","0","0"
"ДН009941","372971","Болт М24х2-6Нх65 крепления реактивной штанги","шт","93","","0.3","0","0"
"ДН009040","371035","Болт М24х2-6Нх90 крепления рычага повор. кулака","шт","115","","0.4","0","0"
"ДН008122","372978","Болт М24х2х6Нх85 креп. кроншт со стяжкой балансира","шт","120","","0.4","0","0"
"ДН010601","373041","Болт М27х140 крепления балансира","шт","185","","0.68","0","0"
"ДН010600","373042","Болт М27х150 крепления балансира","шт","196","","0.84","0","0"
"ДН010602","373075","Болт М30х140 крепления балансирной тележки","шт","235","","0.864","0","0"
"ДН010603","373076","Болт М30х150 крепления балансирной тележки","шт","240","","0.87","0","0"
"ДН004731","54327-2912478","Болт М30х200 задней рессоры МАЗ","шт","290","","1.45","0","0"
"ДН010477","97583-2912478","Болт М30х230 креплен задней рессоры гол. (лыжи)","шт","295","","1.55","0","0"
"ДН12312","8.9089","Болт М8-6gх16-8,8 ЯМЗ","шт","15","","0","0","0"
"ДН013166","650-1005127","Болт маховика М16х1,5 МАЗ 650","шт","220","","0","0","0"
"ДН003625","236-1005127","Болт маховика М16х1,5х45 (фосфат)","шт","26","","0.094","0","0"
"ДН003485","236-1005127","Болт маховика М16х1,5х45 (цинк)","шт","25","","0.094","0","0"
"ДН011928","5340-1005127","Болт маховика МАЗ 536  М14х60х1,5","шт","110","","0","0","0"
"ДН12726","182-1601343-10","Болт нажимного диска","шт","60","","0","0","0"
"ДН012576","310001","Болт полумуфты привода ТНВД М14х58","шт","62","","0","0","0"
"ДН003315","238-1721065","Болт стопорный малой обоймы в сб.","к-т","44","","0.02","0","0"
"ДН012267","236-1005178-А","Болт стяжной длинный (боковой крышки коленвала)","шт","285","","0","0","0"
